analysis_type,roi_index,roi_label,comparison,coefficient,p_value,p_value_fdr,cohens_d,mean_difference,change_difference,active_change_mean,sham_change_mean,p_value_active_vs_zero,p_value_sham_vs_zero
standard,15,Subcentral gyrus RH,baseline,drift_0,0.9846363184829304,1.0,-0.0068652584792526835,-0.00016809099420315304,,,,,
standard,15,Subcentral gyrus RH,baseline,drift_1,0.33553260023952947,0.9930213371250814,0.3460391025088443,0.004733408992874643,,,,,
standard,15,Subcentral gyrus RH,baseline,diffusion,0.4879238328485431,0.9893742670037785,0.24829019793279095,0.02728282518237496,,,,,
standard,15,Subcentral gyrus RH,stimulation,drift_0,0.19788958717570776,0.9884826208191451,-0.4655453249117931,-0.0073187889582453786,,,,,
standard,15,Subcentral gyrus RH,stimulation,drift_1,0.5672850385778947,0.977945925090512,-0.20450918583630434,-0.002152068720967376,,,,,
standard,15,Subcentral gyrus RH,stimulation,diffusion,0.802733342108572,1.0,0.08910753691525301,0.004023487578498006,,,,,
standard,15,Subcentral gyrus RH,recovery,drift_0,0.42294726175575315,1.0,-0.28723616352475345,-0.004826764568135973,,,,,
standard,15,Subcentral gyrus RH,recovery,drift_1,0.3737864375018206,0.9941748363684787,0.31921352094569555,0.0034599147827980557,,,,,
standard,15,Subcentral gyrus RH,recovery,diffusion,0.5685438772298812,1.0,0.20384157507045872,0.012315371495794203,,,,,
standard,16,Frontal pole lateral RH,baseline,drift_0,0.16977508303446098,1.0,-0.49736359307791184,-0.006594278911590784,,,,,
standard,16,Frontal pole lateral RH,baseline,drift_1,0.27003559234094865,0.9702331458144962,-0.39730195017165465,-0.003180171228351568,,,,,
standard,16,Frontal pole lateral RH,baseline,diffusion,0.8175814263405603,0.9837877562546813,0.08226877010552111,0.0025627492676883606,,,,,
standard,16,Frontal pole lateral RH,stimulation,drift_0,0.41653994990671395,0.9628372656985893,0.29126655396787504,0.005115674437705484,,,,,
standard,16,Frontal pole lateral RH,stimulation,drift_1,0.8064639955068016,0.9890049477831914,-0.08738613041846163,-0.0010825464230751198,,,,,
standard,16,Frontal pole lateral RH,stimulation,diffusion,0.38548387768610337,1.0,-0.31137290449627064,-0.011914806640027573,,,,,
standard,16,Frontal pole lateral RH,recovery,drift_0,0.7519572038148147,1.0,0.11277406404820196,0.0014080773864394575,,,,,
standard,16,Frontal pole lateral RH,recovery,drift_1,0.6462326030193588,0.9965996769455172,-0.16393125631674205,-0.0015226242593899192,,,,,
standard,16,Frontal pole lateral RH,recovery,diffusion,0.3710760062014915,1.0,0.3210529054116937,0.01240764677503231,,,,,
standard,17,Postcentral sulcus middle LH,baseline,drift_0,0.40993010994298296,1.0,-0.29546481984475925,-0.0063721640175395736,,,,,
standard,17,Postcentral sulcus middle LH,baseline,drift_1,0.0873396165551607,0.8517692128808053,0.6248570731894982,0.006854290113924944,,,,,
standard,17,Postcentral sulcus middle LH,baseline,diffusion,0.10647747155040747,0.9822786564650203,0.5883966772808105,0.043107569442591476,,,,,
standard,17,Postcentral sulcus middle LH,stimulation,drift_0,0.9370700365136879,0.9985012667950223,0.028149116231044297,0.00037277698236509726,,,,,
standard,17,Postcentral sulcus middle LH,stimulation,drift_1,0.6004515887395632,0.9853564533162062,-0.18715691715616473,-0.001705209385224388,,,,,
standard,17,Postcentral sulcus middle LH,stimulation,diffusion,0.8947458117908298,1.0,0.04717397774654495,0.001312197114389707,,,,,
standard,17,Postcentral sulcus middle LH,recovery,drift_0,0.597099353187396,1.0,-0.18888925259102357,-0.0032495486902082496,,,,,
standard,17,Postcentral sulcus middle LH,recovery,drift_1,0.8601677458450381,1.0,0.06281975092943963,0.0005032723735463773,,,,,
standard,17,Postcentral sulcus middle LH,recovery,diffusion,0.905291587587894,1.0,0.042422630026960916,0.0015454243935760503,,,,,
standard,18,Inferior longitudinal fasciculus posterior RH,baseline,drift_0,0.9089495959931029,1.0,-0.0407764239233051,-0.0009571273530615404,,,,,
standard,18,Inferior longitudinal fasciculus posterior RH,baseline,drift_1,0.9189330668203937,0.9936509613770677,-0.03628811624729589,-0.0006620786097959307,,,,,
standard,18,Inferior longitudinal fasciculus posterior RH,baseline,diffusion,0.35877661039890774,1.0,-0.32951199023321065,-0.015103607871491953,,,,,
standard,18,Inferior longitudinal fasciculus posterior RH,stimulation,drift_0,0.002322070923067268,1.0,-1.1766944497830794,-0.013583047492511102,,,,,
standard,18,Inferior longitudinal fasciculus posterior RH,stimulation,drift_1,0.9182493130322502,0.9918642368618399,-0.0365953129872514,-0.0005449106711820717,,,,,
standard,18,Inferior longitudinal fasciculus posterior RH,stimulation,diffusion,0.1375832564931552,1.0,0.5393821805857042,0.018031936379118915,,,,,
standard,18,Inferior longitudinal fasciculus posterior RH,recovery,drift_0,0.9747801358238655,1.0,0.0112707325192337,0.00018466871054725886,,,,,
standard,18,Inferior longitudinal fasciculus posterior RH,recovery,drift_1,0.0460830457297195,1.0,0.7356942821268144,0.009458964558763357,,,,,
standard,18,Inferior longitudinal fasciculus posterior RH,recovery,diffusion,0.139277408908707,1.0,-0.536983828155713,-0.020121575343610143,,,,,
standard,19,Parieto-occipital sulcus middle,baseline,drift_0,0.4650768633458746,1.0,-0.2616148405955551,-0.002821431394501084,,,,,
standard,19,Parieto-occipital sulcus middle,baseline,drift_1,0.8929245525174825,0.9906335230529817,-0.047995404149387355,-0.00045873394847625014,,,,,
standard,19,Parieto-occipital sulcus middle,baseline,diffusion,0.8633544630828224,0.9855908251915386,-0.061372994428352784,-0.0014719211498942925,,,,,
standard,19,Parieto-occipital sulcus middle,stimulation,drift_0,0.3872590130044913,0.944174355515712,0.31019651359847406,0.004424248287036164,,,,,
standard,19,Parieto-occipital sulcus middle,stimulation,drift_1,0.9632548454356349,0.9983532001276216,0.016424602428976545,0.00028697550788193277,,,,,
standard,19,Parieto-occipital sulcus middle,stimulation,diffusion,0.6542813680879147,1.0,0.15992472075846415,0.007275613742444162,,,,,
standard,19,Parieto-occipital sulcus middle,recovery,drift_0,0.4003927316615362,1.0,0.3015978040626439,0.004697006300812927,,,,,
standard,19,Parieto-occipital sulcus middle,recovery,drift_1,0.17669991130260204,1.0,0.4891655535307813,0.0041059434640302594,,,,,
standard,19,Parieto-occipital sulcus middle,recovery,diffusion,0.7097585593820346,1.0,-0.132842003763183,-0.004571505436146123,,,,,
standard,20,Lateral fissure posterior limb LH,baseline,drift_0,0.8311574475063422,0.9966103351832488,-0.07604362543164099,-0.0010349704640764193,,,,,
standard,20,Lateral fissure posterior limb LH,baseline,drift_1,0.22203813277271484,1.0,0.44088839732680307,0.004197814318554861,,,,,
standard,20,Lateral fissure posterior limb LH,baseline,diffusion,0.25210597521941164,1.0,0.41286109657743536,0.018751725196784405,,,,,
standard,20,Lateral fissure posterior limb LH,stimulation,drift_0,0.23337728419845388,0.9875137976000693,-0.4300053316368534,-0.006688098384778712,,,,,
standard,20,Lateral fissure posterior limb LH,stimulation,drift_1,0.5372561338752979,0.9771763429632416,0.22066531013329885,0.0030024054105746443,,,,,
standard,20,Lateral fissure posterior limb LH,stimulation,diffusion,0.1583254566023099,1.0,0.5115163194951198,0.016284863472705025,,,,,
standard,20,Lateral fissure posterior limb LH,recovery,drift_0,0.3770677328306594,1.0,-0.31699829410433855,-0.006205155250790288,,,,,
standard,20,Lateral fissure posterior limb LH,recovery,drift_1,0.8179551321454916,0.9935777643143339,0.08209706769448555,0.0011832361941981051,,,,,
standard,20,Lateral fissure posterior limb LH,recovery,diffusion,0.7669560714229153,1.0,0.10573376144255167,0.004553580597050147,,,,,
standard,21,Superior corona radiata RH,baseline,drift_0,0.579299464716053,1.0,0.1981673168542649,0.0030658970996189985,,,,,
standard,21,Superior corona radiata RH,baseline,drift_1,0.5028689159246651,0.9697509791089587,-0.23976521680915988,-0.0026372182265068742,,,,,
