roi_idx,roi_label,comparison,component,active_mean,active_std,sham_mean,sham_std,t_statistic,p_value,cohens_d,n_subjects
258,Middle temporal gyrus postero-superior RH,stimulation_minus_baseline,free_energy_change,-0.012779504517458906,0.1690043809157575,0.011574290205169646,0.14083263475922164,-0.4954328532957521,0.627473822009662,-0.1565580869818224,16
258,Middle temporal gyrus postero-superior RH,stimulation_minus_baseline,potential_energy_change,-0.00407122156691333,0.06280286623531442,0.019311337675423246,0.07053678368809406,-1.1021495216206547,0.2877672084373594,-0.3501333105087637,16
258,Middle temporal gyrus postero-superior RH,stimulation_minus_baseline,entropy_change,-0.008708282950545404,0.14131051699892597,-0.007737047470253722,0.14197595042390723,-0.02053905514045919,0.98388408213685,-0.006856895139740646,16
258,Middle temporal gyrus postero-superior RH,recovery_minus_baseline,free_energy_change,-0.02115851767464358,0.16842327655744785,0.04507742189244626,0.14744408657897945,-1.1522784210733914,0.2672408191339092,-0.41846885821359486,16
258,Middle temporal gyrus postero-superior RH,recovery_minus_baseline,potential_energy_change,-0.014626116710940176,0.08840305293012497,0.03432542726330067,0.09786128901827026,-1.7764482378177289,0.09594069234790088,-0.5249373592449413,16
258,Middle temporal gyrus postero-superior RH,recovery_minus_baseline,entropy_change,-0.006532400963703333,0.12967914518496101,0.010751994629145445,0.12589312427719154,-0.36563785282486905,0.719740252470899,-0.13524549747144216,16
259,Angular gyrus superior anterior LH,stimulation_minus_baseline,free_energy_change,-0.11200444668737372,0.15542373800557926,-0.15047118610764854,0.18520466723906231,0.6419697381626909,0.5305820937876244,0.22499919831863904,16
259,Angular gyrus superior anterior LH,stimulation_minus_baseline,potential_energy_change,-0.036733557608213924,0.07624021425755961,-0.024882564223503472,0.11118545088424062,-0.33881678283441186,0.7394442124453129,-0.12431834928375526,16
259,Angular gyrus superior anterior LH,stimulation_minus_baseline,entropy_change,-0.07527088907915983,0.1711462695889561,-0.1255886218841451,0.13776233012529324,0.8783812831433973,0.3935898415196387,0.32389156575273864,16
259,Angular gyrus superior anterior LH,recovery_minus_baseline,free_energy_change,-0.08492786124196888,0.13890239269890522,-0.11732785227620302,0.16300476093316585,0.7473957663392947,0.4663804380172788,0.21395473529812667,16
259,Angular gyrus superior anterior LH,recovery_minus_baseline,potential_energy_change,0.018231989520776072,0.09126031060249178,-0.02243256739846529,0.09069843417743112,1.2620252689445448,0.2262105769162356,0.44696244849142364,16
259,Angular gyrus superior anterior LH,recovery_minus_baseline,entropy_change,-0.10315985076274495,0.1321303917771804,-0.09489528487773768,0.13591453953750895,-0.2647079278834688,0.7948372687665852,-0.061659382086744007,16
260,Cerebellum Vermis X,stimulation_minus_baseline,free_energy_change,-0.3302007817910685,0.3385011986692626,-0.20549459422230326,0.24676456302098976,-1.096754810999995,0.2900444007380606,-0.42101189966018854,16
260,Cerebellum Vermis X,stimulation_minus_baseline,potential_energy_change,-0.09863542228066166,0.1411116566394359,-0.05208840332384619,0.10913653462696878,-0.9642432640779841,0.35021293260868736,-0.3690068098226491,16
260,Cerebellum Vermis X,stimulation_minus_baseline,entropy_change,-0.2315653595104068,0.23957246167084995,-0.15340619089845706,0.21773363153788028,-0.8893155509466181,0.38787361883009197,-0.3414351915125516,16
260,Cerebellum Vermis X,recovery_minus_baseline,free_energy_change,-0.3126504135791509,0.3080728611904194,-0.207851018121472,0.21299501818271782,-1.0657203908523525,0.3034043469384987,-0.39571494392324646,16
260,Cerebellum Vermis X,recovery_minus_baseline,potential_energy_change,-0.11849549752216726,0.15029716406443577,-0.05872211580216401,0.12998453458508696,-1.1074478321305161,0.2855436745557419,-0.42540791075062145,16
260,Cerebellum Vermis X,recovery_minus_baseline,entropy_change,-0.19415491605698357,0.2069848572422954,-0.14912890231930792,0.17277362186291648,-0.7827658924786874,0.44594734448518525,-0.23617332309797004,16
261,Midbrain superior,stimulation_minus_baseline,free_energy_change,-0.022996690405677728,0.10010057476951258,0.033623581424288895,0.15699439517835925,-1.1912506682098734,0.25206425580764513,-0.4300575042044445,16
261,Midbrain superior,stimulation_minus_baseline,potential_energy_change,0.014592689173678588,0.058979596401485763,0.04276006602825548,0.08924779046106501,-0.979682872122945,0.3427803403962678,-0.3723719976240442,16
261,Midbrain superior,stimulation_minus_baseline,entropy_change,-0.03758937957935621,0.09117407902211731,-0.0091364846039666,0.1234636048314882,-0.6651425859114101,0.5160566573196614,-0.2621747857561087,16
261,Midbrain superior,recovery_minus_baseline,free_energy_change,0.012241924461309978,0.15519339138109917,0.13135536906982,0.1438691835998895,-2.38302446250825,0.030830172226661186,-0.7960082823923348,16
261,Midbrain superior,recovery_minus_baseline,potential_energy_change,-0.024229912826196468,0.1287630037954742,0.021189677182965858,0.10973413185764605,-1.9094450023933218,0.07552088198564418,-0.3796750699767277,16
261,Midbrain superior,recovery_minus_baseline,entropy_change,0.03647183728750644,0.11324514924626845,0.11016569188685413,0.16408152877083423,-1.421063429427616,0.17575355721132163,-0.5227486691624285,16
262,Cingulate middle posterior RH,stimulation_minus_baseline,free_energy_change,-0.0004366452077756433,0.18569674183223858,0.014170156683350033,0.19551819118718047,-0.1925132006010357,0.8499224005763569,-0.07660747431336284,16
262,Cingulate middle posterior RH,stimulation_minus_baseline,potential_energy_change,0.014405511983032217,0.08483668559358137,-0.0007458581749255752,0.07253757819742529,0.48604092175430996,0.6339620135141213,0.1919667224298156,16
262,Cingulate middle posterior RH,stimulation_minus_baseline,entropy_change,-0.014842157190807975,0.15541764433742322,0.01491601485827565,0.14312365966438859,-0.5263182613375245,0.6063624962204724,-0.19918833096155913,16
262,Cingulate middle posterior RH,recovery_minus_baseline,free_energy_change,-0.03575410618227526,0.1803571957954892,-0.016066065383888967,0.17944730277538506,-0.3138207167886222,0.7579791569760024,-0.10943708554713145,16
262,Cingulate middle posterior RH,recovery_minus_baseline,potential_energy_change,0.0010637627422822645,0.07392795081925929,-0.015832980993691802,0.07729333045566134,0.5738147005353852,0.5745970414929777,0.22341512939665992,16
262,Cingulate middle posterior RH,recovery_minus_baseline,entropy_change,-0.03681786892455749,0.13520747584682535,-0.0002330843901972024,0.15721645916693028,-0.7307237597705856,0.47620757716778506,-0.24951174017556493,16
263,Anterior cingulate cortex superior,stimulation_minus_baseline,free_energy_change,-0.01934561766969728,0.1392143079973683,0.02642056412877178,0.2220380944489729,-0.7301146828575619,0.476568947129576,-0.24696742316203313,16
263,Anterior cingulate cortex superior,stimulation_minus_baseline,potential_energy_change,0.017483380382216987,0.08589422627534302,0.007151656805392955,0.1071615566337859,0.2632865927485469,0.7959119955804808,0.10638995221837187,16
263,Anterior cingulate cortex superior,stimulation_minus_baseline,entropy_change,-0.03682899805191428,0.0880126932020444,0.019268907323378742,0.1637395951931879,-1.2470452658274065,0.23150188253693815,-0.42677043261884917,16
263,Anterior cingulate cortex superior,recovery_minus_baseline,free_energy_change,0.028351887189010605,0.12507597093094902,-0.032675844235112245,0.24260224363422586,0.8479294678426822,0.40980414717055846,0.3162019423333273,16
263,Anterior cingulate cortex superior,recovery_minus_baseline,potential_energy_change,-0.009476132394433243,0.07965743534874976,-0.032482077837218945,0.08982219062994008,0.6763520857262895,0.5091125486236119,0.2710022359390832,16
263,Anterior cingulate cortex superior,recovery_minus_baseline,entropy_change,0.03782801958344384,0.09856522658768059,-0.00019376639789336902,0.22566736192131792,0.6243073751716466,0.5418054340926266,0.21835584779336895,16
264,Precentral sulcus mid-superior RH,stimulation_minus_baseline,free_energy_change,0.026282249648691247,0.21076225164565077,-0.004258017905650169,0.20324165596309662,0.3985829918595428,0.6958166882943699,0.1475117954614487,16
264,Precentral sulcus mid-superior RH,stimulation_minus_baseline,potential_energy_change,0.001145066775432503,0.12279132933245948,-0.008870243164626031,0.09874452753724439,0.24252809813291187,0.8116558734429834,0.08988906056020268,16
264,Precentral sulcus mid-superior RH,stimulation_minus_baseline,entropy_change,0.025137182873258695,0.1547375843011348,0.004612225258975977,0.17403582664279105,0.3356610186565973,0.7417753521946435,0.12464323143210254,16
264,Precentral sulcus mid-superior RH,recovery_minus_baseline,free_energy_change,0.03015729601854683,0.14225119723815596,-0.0156487907615509,0.24564271442242414,0.5681008053947405,0.5783722434022858,0.2282107094635983,16
264,Precentral sulcus mid-superior RH,recovery_minus_baseline,potential_energy_change,0.014264410922860368,0.08198081265823953,0.007958561505412654,0.12530036803894132,0.15897808147789158,0.8758068807940427,0.05955671795773997,16
264,Precentral sulcus mid-superior RH,recovery_minus_baseline,entropy_change,0.015892885095686454,0.13259112660954586,-0.02360735226696342,0.18781579929206127,0.5700093093274855,0.5771098547625975,0.2429802193029026,16
265,Parieto-occipital sulcus anterior,stimulation_minus_baseline,free_energy_change,-0.021264404558085037,0.15630216100215422,-0.03412300740621746,0.15115663177235925,0.33053716025587815,0.7455658706018486,0.08363268699699847,16
265,Parieto-occipital sulcus anterior,stimulation_minus_baseline,potential_energy_change,-0.016079384757797036,0.092621866852924,-0.004159061560771213,0.10829301174993113,-0.35316366558240603,0.7288798357130089,-0.11830111610146712,16
265,Parieto-occipital sulcus anterior,stimulation_minus_baseline,entropy_change,-0.0051850198002881265,0.14153980026021995,-0.029963945845446205,0.10599385506178322,0.630258926110002,0.5380090373661162,0.19817366938205308,16
265,Parieto-occipital sulcus anterior,recovery_minus_baseline,free_energy_change,0.0010558726782887162,0.158373163587943,0.00517253244005722,0.19759903727189898,-0.068165593604661,0.9465541761285663,-0.022989949956756295,16
